epoch,model_file,evaluation_time,samples_evaluated,generator_lr,discriminator_lr,total_loss,identity_loss,healing_loss,adversarial_loss,segmentation_loss,perceptual_loss,discriminator_loss,status
0,abnormal_to_normal_0.pth,0.84,3,0.000200,0.000200,3.675936,0.099088,0.100144,2.480791,0.000000,0.003974,0.533896,success
1,abnormal_to_normal_1.pth,0.16,3,0.000200,0.000200,2.540296,0.066263,0.079590,1.718119,0.000000,0.000365,0.581811,success
2,abnormal_to_normal_2.pth,0.19,3,0.000200,0.000200,3.106412,0.064929,0.073033,2.310851,0.000000,0.000204,0.660546,success
3,abnormal_to_normal_3.pth,0.21,3,0.000200,0.000200,1.610101,0.070806,0.077174,0.746957,0.000000,0.000738,0.489207,success
4,abnormal_to_normal_4.pth,0.20,3,0.000200,0.000200,3.668594,0.060903,0.065732,2.927233,0.000000,0.000872,0.138466,success
5,abnormal_to_normal_5.pth,0.22,3,0.000200,0.000200,2.367140,0.060999,0.061245,1.633399,0.000000,0.001258,0.314207,success
6,abnormal_to_normal_6.pth,0.17,3,0.000200,0.000200,2.143521,0.066720,0.066327,1.340869,0.000000,0.002802,0.414134,success
7,abnormal_to_normal_7.pth,0.21,3,0.000200,0.000200,2.304094,0.056705,0.068163,1.597980,0.000000,0.002733,0.420479,success
8,abnormal_to_normal_8.pth,0.22,3,0.000200,0.000200,2.265564,0.052609,0.067896,1.601628,0.000000,0.002058,0.360602,success
9,abnormal_to_normal_9.pth,0.24,3,0.000200,0.000200,3.216377,0.055326,0.066914,2.526012,0.000000,0.003276,0.309357,success
10,abnormal_to_normal_10.pth,0.20,3,0.000200,0.000200,1.913025,0.047196,0.076088,1.285639,0.000000,0.003254,0.397575,success
11,abnormal_to_normal_11.pth,0.19,3,0.000200,0.000200,1.987161,0.052940,0.079797,1.293579,0.000000,0.004588,0.300404,success
12,abnormal_to_normal_12.pth,0.19,3,0.000200,0.000200,2.583602,0.044275,0.062486,2.013408,0.000000,0.002466,0.311215,success
